vehicle_id,batch_id,temperature,voltage,charge_cycles,depth_of_discharge,fast_charge_frequency,current,state_of_charge,state_of_health,internal_resistance,ambient_temperature,battery_age_months,health_score,rul_days,thermal_stress_index,failure_risk,maintenance_due
EV-92B8FE91,BATCH_B,35.18,408.46,1465,79.67,2,237.09,71.51,83.81,45.05,28.39,96,65.49,773,5.09,Medium,No
EV-8CB6A8FF,BATCH_D,31.44,381.89,1673,66.62,0,-132.88,34.47,90.18,35.42,21.56,120,69.22,800,2.47,Medium,No
EV-2021AF07,BATCH_C,54.584953152751346,399.46,1212,54.65,7,237.38,64.35,73.79649937911628,54.5284981644645,41.45,49,34.68,380,26.27,Critical,Yes
EV-E8B3526F,BATCH_D,39.26,407.22,902,73.24,1,-8.84,80.74,90.71,31.13,30.5,46,75.99,1017,4.38,Medium,No
EV-C20B764C,BATCH_D,36.45,384.97,1508,53.47,0,107.39,34.81,87.61,40.67,30.06,101,64.97,753,1.6,Medium,No
EV-ACDED9A3,BATCH_B,43.98,389.91,475,55.1,1,120.09,53.53,93.18,23.77,34.83,20,78.72,1110,4.57,Medium,No
EV-052222E1,BATCH_B,28.59,397.77,1244,56.06,0,55.06,82.36,92.66,29.72,22.31,82,74.51,979,1.57,Medium,No
EV-FC119214,BATCH_B,52.84,392.16,219,93.62,4,105.05,81.5,94.9,25.51,42.67,7,66.95,993,12.71,Medium,No
EV-9D43E5C0,BATCH_C,53.73646137628355,394.45,573,59.87,7,14.31,29.99,75.32351249942147,53.8052069854529,33.2,10,50.12,678,41.07,High,No
EV-5DBC10DA,BATCH_C,39.93795012671606,383.26,1800,59.11,5,193.84,55.31,77.47701423276796,57.87869185489477,21.89,118,44.7,361,27.07,High,Yes
EV-26349D82,BATCH_A,29.39,407.06,1666,74.27,1,-149.52,85.64,85.33,41.6,17.8,112,61.71,651,5.79,Medium,No
EV-F4C83F0E,BATCH_D,53.22,392.87,1057,92.23,5,42.85,73.81,85.08,41.29,41.24,66,44.02,507,17.97,High,Yes
EV-31C0747B,BATCH_C,45.747310219455265,402.98,1575,90.95,3,-116.47,61.88,83.0953054585197,57.70645681362022,27.76,75,51.63,556,17.99,High,No
EV-C50906B6,BATCH_A,39.34,386.16,1193,86.19,1,13.54,27.46,87.43,38.98,30.59,73,64.35,807,4.38,Medium,No
EV-3853D3F7,BATCH_D,33.2,396.94,1345,77.53,4,246.72,47.82,84.61,45.67,22.84,83,61.88,707,12.95,Medium,No
EV-EE85295C,BATCH_B,30.95,394.51,956,94.48,7,81.06,74.19,80.28,49.5,20.36,52,59.36,717,21.18,High,No
EV-9B761501,BATCH_D,46.9,400.98,1248,57.28,1,-64.22,48.04,90.0,31.73,37.43,94,63.41,778,4.73,Medium,No
EV-E7C148C5,BATCH_C,43.82377434552764,380.16,1787,54.1,3,-91.87,84.81,79.78229755380488,48.14039736695803,19.82,102,43.02,447,24.0,High,Yes
EV-B1D8782A,BATCH_A,43.63,401.35,1350,76.89,6,228.29,77.42,81.65,48.08,33.42,92,47.98,535,17.87,High,Yes
EV-708BDE29,BATCH_D,54.83,395.54,727,58.76,3,163.58,55.74,86.53,38.64,40.52,56,55.72,725,14.31,High,No
EV-52C2BFBE,BATCH_B,37.34,409.27,1072,53.91,0,-39.63,47.96,91.65,27.6,25.79,78,76.85,978,2.89,Medium,No
EV-DAD97619,BATCH_D,42.9,382.06,962,54.06,3,-36.2,78.08,84.47,45.8,30.53,51,61.16,756,12.37,Medium,No
EV-ED9EC59A,BATCH_C,46.20464956392577,407.89,956,75.87,7,-45.56,48.5,82.17748175531881,54.88015465177662,33.19,44,48.29,597,26.03,High,Yes
EV-C19B7E64,BATCH_C,60.07848429334124,396.9,1800,84.65,7,152.99,87.29,70.0,65.59970162065837,35.83,112,15.92,50,48.5,Critical,Yes
EV-EAB8D99D,BATCH_C,55.93177044923229,389.47,668,93.0,6,56.6,20.68,85.28990569837909,48.00697916781814,35.31,8,47.11,612,36.09,High,Yes
EV-FB949E36,BATCH_C,51.93927458987888,406.83,896,62.11,6,228.85,67.82,87.34333460905691,44.53429065242831,29.3,9,49.64,667,39.62,High,Yes
EV-17FCCF28,BATCH_C,65.0,390.68,931,85.05,7,-102.05,25.49,87.89376323847142,50.59089337270513,40.05,26,36.34,499,49.9,Critical,Yes
EV-46C13027,BATCH_A,43.54,409.56,1592,90.36,5,197.51,54.36,79.22,55.85,33.62,108,41.71,391,14.88,High,Yes
EV-9E26E754,BATCH_C,41.47338646530389,394.35,1052,74.33,5,50.99,47.56,75.05492804762957,48.742445680961396,16.62,50,54.46,665,37.28,High,No
EV-EF3543AC,BATCH_D,44.01,383.02,534,66.27,0,194.74,33.1,96.2,21.46,35.22,40,78.92,1085,2.2,Medium,No
EV-7326B751,BATCH_C,60.84077986227915,385.52,952,69.08,7,17.64,72.65,77.70271008522144,54.004097181792496,43.76,30,34.76,504,34.16,Critical,Yes
EV-7408872D,BATCH_B,49.67,405.69,1349,58.82,4,170.01,71.7,83.64,43.49,39.12,104,45.56,539,13.19,High,Yes
EV-2E8816B6,BATCH_D,33.99,406.8,1290,78.38,2,63.59,42.1,86.62,36.65,27.65,103,68.07,785,4.76,Medium,No
EV-76F729CE,BATCH_D,38.86,381.8,634,86.62,0,40.62,64.09,98.46,19.98,26.95,38,83.43,1195,2.98,Low,No
EV-63104D86,BATCH_D,36.43,407.96,1361,61.6,4,-142.07,28.49,83.08,47.73,25.83,95,60.21,653,13.25,Medium,No
EV-B68F8FFF,BATCH_B,52.23,389.75,1220,72.97,2,159.9,51.29,85.69,43.29,44.38,73,50.19,617,5.89,High,No
EV-42CDF246,BATCH_A,40.4,385.03,772,86.35,7,-15.04,64.19,81.66,49.47,33.95,48,61.5,733,12.9,Medium,No
EV-A855B133,BATCH_D,27.14,389.51,1382,63.11,1,-43.01,65.13,87.1,41.47,19.86,108,66.65,787,3.64,Medium,No
EV-66D825EC,BATCH_C,54.996271921844965,393.51,1800,57.53,7,191.68,28.75,70.0,68.60064737875547,37.44,113,21.09,108,35.11,Critical,Yes
EV-BCF20FB5,BATCH_B,30.7,396.45,702,51.19,1,8.81,73.55,95.1,29.16,16.91,50,84.95,1144,6.89,Low,No
EV-2AF85246,BATCH_A,31.85,391.7,340,60.32,2,145.04,51.02,94.7,24.01,17.53,13,89.21,1242,10.74,Low,No
EV-093E75BA,BATCH_B,27.5,405.81,511,64.63,2,40.46,88.25,93.22,30.07,15.86,16,82.96,1175,8.73,Low,No
EV-479270F4,BATCH_C,65.0,385.31,1585,76.89,6,102.42,64.51,79.07471751289188,45.33661328113997,44.09,70,21.24,211,36.59,Critical,Yes
EV-2F8AE187,BATCH_C,61.713797891608884,390.97,1327,61.69,6,-28.57,20.01,81.62237751504793,49.57098888041951,39.14,61,31.05,357,39.5,Critical,Yes
EV-98EE7F67,BATCH_D,24.57,388.79,1446,60.4,4,-147.11,46.16,83.92,45.57,15.27,96,60.21,669,11.62,Medium,No
EV-22E7146D,BATCH_D,33.47,402.11,1681,67.54,6,1.34,38.41,76.64,55.98,26.84,112,52.03,478,11.6,High,No
EV-B0ADF6E6,BATCH_D,35.97,404.26,1132,68.58,4,191.39,32.77,87.29,41.34,23.54,80,67.59,803,15.54,Medium,No
EV-0A3159E7,BATCH_C,41.249375981415255,385.63,703,50.87,7,-130.15,57.45,79.35804867110855,55.84195942211275,23.16,14,57.77,739,36.18,High,No
EV-F06F8AA4,BATCH_A,22.61,392.61,444,85.36,2,49.36,46.0,91.08,33.73,15.44,29,80.84,1120,5.38,Low,No
EV-27C3D193,BATCH_A,29.44,382.14,595,71.16,2,-73.12,78.91,92.75,27.77,16.68,42,83.07,1112,9.57,Low,No
EV-A79973E7,BATCH_D,56.39,391.54,1328,93.87,1,-51.14,89.62,89.25,32.02,44.24,106,47.28,631,6.07,High,Yes
EV-E0DC7384,BATCH_B,40.99,389.36,794,64.54,3,101.67,22.95,87.1,37.29,29.18,58,68.48,887,11.81,Medium,No
EV-A88702A8,BATCH_A,34.84,405.91,680,59.8,4,-104.83,64.3,89.32,35.56,20.96,32,77.94,1046,17.35,Medium,No
EV-0DB00C22,BATCH_C,53.38406538935097,387.29,426,93.6,7,82.43,68.35,81.17202999998034,38.227222564048944,32.54,1,53.66,793,41.69,High,No
EV-9E1DC16D,BATCH_D,28.24,401.04,355,85.62,0,-99.67,36.29,96.78,18.95,16.79,11,94.34,1330,2.86,Low,No
EV-FD9FD758,BATCH_C,35.010247906350685,401.73,1800,61.28,7,-134.2,69.46,70.0,71.2470173396637,15.64,103,40.62,302,38.74,High,Yes
EV-5F4F3E2F,BATCH_C,65.0,405.82,1258,57.22,7,62.45,51.46,78.89921020204426,54.32917907342509,41.03,41,30.06,344,47.94,Critical,Yes
EV-5AD06DB6,BATCH_D,42.23,398.61,1260,64.43,0,-124.66,87.7,90.53,31.84,33.59,93,67.95,854,2.16,Medium,No
EV-4660F4DA,BATCH_D,44.51,388.49,606,68.44,7,-21.19,26.74,83.08,48.19,37.97,24,57.38,773,13.08,High,No
EV-23BF254E,BATCH_A,48.22,394.56,176,54.44,2,78.4,78.54,96.41,25.26,41.2,5,77.85,1146,5.26,Medium,No
EV-C9D3FF9F,BATCH_D,23.68,401.54,1156,50.59,4,218.41,65.9,84.61,42.61,16.47,67,68.41,790,9.01,Medium,No
EV-5B3AE92B,BATCH_A,46.12,392.48,789,66.61,5,133.37,77.66,84.17,41.89,31.74,59,58.91,783,21.57,High,No
EV-04CDB51B,BATCH_C,54.663310882259935,386.48,1172,73.38,5,-109.51,36.17,79.51123486274756,46.72027668962814,40.03,67,41.33,511,21.95,High,Yes
EV-A5371804,BATCH_B,50.04,397.3,1187,80.35,6,131.02,49.9,79.68,52.73,37.38,71,44.62,516,22.15,High,Yes
EV-0B391488,BATCH_A,41.72,396.02,394,77.0,6,223.41,83.17,88.52,38.05,30.14,21,63.2,904,20.26,Medium,No
EV-3CE02C92,BATCH_C,59.89708219634285,401.78,1800,77.38,7,75.26,34.97,70.0,67.39499788998249,37.93,108,17.2,79,43.93,Critical,Yes
EV-7364FF23,BATCH_D,43.05,409.8,67,63.58,4,-29.87,35.53,93.45,28.91,32.87,0,82.52,1213,12.72,Low,No
EV-E5A45919,BATCH_C,34.99243838452356,384.68,568,61.92,4,205.85,37.49,87.92512840510918,34.690649369201196,17.83,2,79.59,1039,21.45,Medium,No
EV-85F753C5,BATCH_B,45.52,404.77,1205,81.03,5,80.49,83.54,82.32,45.73,38.79,93,53.41,602,10.1,High,No
EV-3202B28F,BATCH_C,36.58831096951221,403.13,709,65.66,7,176.86,49.16,76.8722081683965,53.39301634316542,17.35,4,63.5,826,38.48,Medium,No
EV-B6CCCA29,BATCH_A,29.55,396.2,1217,56.73,0,50.96,35.46,88.61,36.27,24.14,81,72.32,869,1.35,Medium,No
EV-A037C4B0,BATCH_A,48.34,382.7,1283,69.44,7,164.55,30.36,78.08,55.11,37.59,86,39.34,399,21.5,Critical,Yes
EV-59EA7F69,BATCH_C,48.87922501976014,391.96,714,69.55,3,129.15,73.34,84.79681196419534,42.00330682904268,31.44,10,59.09,830,17.44,High,No
EV-8DAA0930,BATCH_B,46.53,407.72,458,54.03,4,118.7,49.65,90.63,29.26,38.3,31,68.37,944,10.29,Medium,No
EV-4D6DC3E9,BATCH_C,47.482101052342514,389.14,776,94.44,7,96.49,89.31,83.86122449068627,55.46171920131815,32.82,24,48.28,642,29.32,High,Yes
EV-4C869C04,BATCH_B,51.26,383.37,1285,52.45,2,229.58,84.87,86.11,41.81,37.73,87,52.02,614,10.15,High,No
EV-DEC4905A,BATCH_C,46.36355148752466,389.96,717,83.3,4,-65.25,58.25,84.72958007142516,40.733021282356034,24.15,1,65.47,883,27.77,Medium,No
EV-FF57BC58,BATCH_A,28.26,386.02,924,81.34,0,-41.49,52.55,96.1,22.03,22.66,48,82.28,1081,1.4,Low,No
EV-0C522EA9,BATCH_A,49.02,390.81,344,54.86,4,-33.0,81.84,87.81,34.18,34.89,8,67.69,972,17.66,Medium,No
EV-47A7A4DC,BATCH_D,51.97,397.91,592,53.96,1,-70.45,87.68,90.48,34.24,42.12,29,65.3,928,4.93,Medium,No
EV-544BD2E7,BATCH_A,33.94,384.71,236,65.61,4,-9.23,63.77,95.54,24.97,25.01,5,86.54,1208,11.16,Low,No
EV-4827B0A4,BATCH_B,47.56,406.71,959,86.67,0,-138.21,58.85,87.7,36.11,33.77,64,62.46,801,3.45,Medium,No
EV-FAAEF990,BATCH_C,64.74524600494827,382.63,779,67.2,7,234.24,62.87,81.33639191829424,47.32749154168852,41.92,28,35.31,477,45.65,Critical,Yes
EV-5772FCD1,BATCH_C,41.18109641589212,399.57,1800,76.15,7,123.62,34.16,70.0,74.21002095280414,28.48,116,31.05,217,25.4,Critical,Yes
EV-CC427855,BATCH_B,35.09,408.46,1335,55.33,2,-22.96,81.57,85.82,41.03,24.52,83,68.92,812,7.93,Medium,No
EV-4AB9C8CA,BATCH_A,51.87,402.37,1377,86.98,6,104.74,71.68,81.86,48.83,43.84,97,37.22,411,14.05,Critical,Yes
EV-9604EB58,BATCH_B,24.21,409.58,1334,77.76,1,92.24,62.87,85.17,42.41,18.95,99,66.05,772,2.63,Medium,No
EV-8EC3B4C6,BATCH_B,30.18,384.02,411,88.08,5,37.51,65.47,89.18,31.07,17.38,29,75.77,1037,19.2,Medium,No
EV-B5367ABF,BATCH_B,35.86,386.79,1556,68.39,7,237.53,84.78,77.35,54.47,29.22,109,50.8,468,13.28,High,No
EV-36CE168C,BATCH_D,31.25,409.57,489,89.02,3,45.98,42.74,93.58,27.62,16.98,28,80.7,1152,14.27,Low,No
EV-B7ABDDD1,BATCH_D,32.57,402.06,1532,67.12,6,-24.84,62.81,76.27,60.34,27.15,113,51.12,471,9.49,High,No
EV-C2AC8751,BATCH_A,42.49,406.33,897,61.06,7,65.15,88.87,85.31,41.43,28.71,66,57.65,719,27.56,High,No
EV-AB0EA890,BATCH_A,30.1,406.53,1100,84.82,0,-35.63,31.65,90.56,33.93,20.7,71,77.13,942,2.35,Medium,No
EV-481187DC,BATCH_C,54.313280182489315,382.71,1492,72.53,4,-78.09,60.98,82.37933285194939,40.844609324551065,28.91,78,43.91,521,31.75,High,Yes
EV-EF93DB50,BATCH_A,47.38,389.72,546,79.19,3,134.59,31.48,88.98,34.38,41.48,22,64.57,906,5.9,Medium,No
EV-3B37C81F,BATCH_A,39.87,401.22,240,82.71,7,240.08,62.85,87.38,39.7,34.02,11,72.59,1024,11.7,Medium,No
EV-077F9438,BATCH_B,23.03,390.06,907,89.21,6,195.07,31.35,82.75,46.21,16.32,48,60.69,745,11.74,Medium,No
EV-163654A3,BATCH_B,36.54,408.83,340,63.0,6,-77.72,82.9,90.52,35.61,24.24,22,73.76,1006,21.53,Medium,No
EV-41A55E1A,BATCH_B,42.31,396.31,179,50.26,0,203.08,36.65,98.46,18.38,28.76,0,88.28,1308,3.39,Low,No
EV-921F308E,BATCH_D,28.38,387.34,955,74.63,7,97.91,59.03,81.09,49.64,17.38,58,61.79,735,22.0,Medium,No
EV-56011DD8,BATCH_B,25.14,384.36,216,51.46,2,81.24,62.23,94.47,24.92,16.65,6,90.16,1272,6.37,Low,No
EV-D3FD6CE9,BATCH_C,43.93282588387337,384.84,1800,62.8,2,114.37,68.99,72.33706736152337,59.523348090273615,18.27,117,43.12,366,19.25,High,Yes
EV-3586D3C6,BATCH_C,51.93925866520648,406.93,1800,86.91,3,153.38,79.03,81.27976769994055,55.844079410613965,38.06,119,38.5,368,13.88,Critical,Yes
EV-3A016783,BATCH_C,56.82662983209447,383.28,1412,82.84,6,101.59,89.1,75.53155393065528,53.59488558498472,35.87,67,28.87,277,36.67,Critical,Yes
EV-AC8CB905,BATCH_C,56.7025765956607,394.78,1732,58.1,7,93.76,69.6,70.0,77.64460742389653,30.59,118,21.95,132,52.23,Critical,Yes
EV-593BF1E5,BATCH_A,35.76,396.81,1284,78.69,6,-145.48,34.08,82.0,49.0,27.42,94,52.44,570,14.59,High,No
EV-ABC5C2B2,BATCH_C,45.19921540796707,403.01,682,55.12,6,-16.69,47.72,81.86984420101979,52.60825300171501,24.01,32,57.01,724,37.08,High,No
EV-AFC4CEBA,BATCH_D,44.18,398.82,1696,90.14,0,64.79,43.46,81.91,49.66,34.37,117,48.41,516,2.45,High,Yes
EV-014E2953,BATCH_D,43.73,396.66,1494,50.84,4,80.96,43.22,85.98,38.86,31.95,118,47.2,521,14.72,High,Yes
EV-59235FA2,BATCH_C,55.48378910148083,391.26,481,74.04,7,-83.61,62.4,82.5873381595448,41.884993983942266,40.22,8,47.84,696,30.53,High,Yes
EV-CD952C17,BATCH_A,37.29,393.56,669,92.78,1,-63.54,41.16,92.07,29.33,29.91,34,84.78,1102,3.69,Low,No
EV-D45EFCD0,BATCH_A,51.84,380.75,633,71.72,3,50.02,33.31,90.95,32.53,42.4,47,63.33,878,9.44,Medium,No
EV-F35986E1,BATCH_D,44.7,406.15,1434,87.0,4,225.21,67.37,82.95,45.48,38.27,93,50.07,551,8.04,High,No
EV-12782A23,BATCH_B,40.28,383.48,380,63.99,7,-132.39,79.37,88.08,36.11,26.63,26,69.73,947,27.3,Medium,No
EV-D372292F,BATCH_A,30.75,402.37,793,51.01,0,153.4,64.72,95.64,22.89,18.09,42,82.9,1157,3.16,Low,No
EV-198F65B0,BATCH_B,33.92,403.18,644,80.2,3,-40.94,31.02,88.54,34.7,23.6,41,75.25,1026,10.32,Medium,No
EV-F78D9158,BATCH_A,29.7,389.55,348,56.37,1,131.74,39.83,91.4,37.04,21.2,1,89.62,1241,4.25,Low,No
EV-1F00A047,BATCH_B,41.79,393.31,338,55.85,4,38.29,67.28,91.36,31.41,33.4,21,76.55,1080,10.49,Medium,No
EV-FF3F8370,BATCH_A,34.58,397.88,665,76.67,1,184.47,68.96,94.14,25.92,27.79,49,82.54,1112,3.39,Low,No
EV-60B269D2,BATCH_C,54.417952803739624,396.0,1127,93.82,5,152.3,52.6,80.0341582925326,53.19477974805375,36.39,39,43.58,475,27.04,High,Yes
EV-30F916FF,BATCH_D,33.27,387.74,888,66.36,3,-76.66,84.21,89.63,34.4,19.31,60,74.07,942,13.96,Medium,No
EV-94708FC6,BATCH_C,43.766154422494786,383.39,1800,71.54,7,188.31,39.76,70.37050334044307,66.79685982238895,29.63,100,31.99,229,28.27,Critical,Yes
EV-106AC2C6,BATCH_A,49.1,392.02,826,68.6,1,98.35,58.36,89.74,31.05,38.77,41,64.32,899,5.16,Medium,No
EV-D7B1EC23,BATCH_D,33.19,392.93,671,94.11,5,76.88,43.95,89.17,35.88,21.25,49,73.44,969,17.91,Medium,No
EV-CD09DC77,BATCH_B,29.39,389.76,353,54.39,7,28.09,41.56,85.78,41.93,18.43,22,74.85,1009,21.92,Medium,No
EV-86331230,BATCH_D,46.53,404.6,452,64.73,1,108.0,24.3,97.18,21.59,35.57,8,80.08,1181,5.48,Low,No
EV-EECE9555,BATCH_B,49.32,393.59,1369,63.12,0,96.23,51.3,88.54,34.25,37.71,104,55.93,667,2.9,High,No
EV-80C24474,BATCH_B,46.24,389.14,1256,92.45,4,23.89,88.78,82.47,46.85,32.11,87,47.67,548,17.66,High,Yes
EV-88B4FEF9,BATCH_C,58.1189951662069,405.43,680,88.36,4,-125.04,83.08,81.60969742143502,49.496962297502506,33.34,11,47.88,650,30.97,High,Yes
EV-4D6726D5,BATCH_A,34.08,391.83,1514,64.32,0,3.12,46.71,88.7,37.59,22.06,110,65.16,746,3.0,Medium,No
EV-C8B3EDE1,BATCH_B,29.72,405.3,1146,66.21,7,16.89,40.19,78.91,51.79,19.17,84,57.59,631,21.1,High,No
EV-DF56DB07,BATCH_B,40.89,406.55,259,79.61,1,239.99,29.5,95.88,18.55,34.45,17,86.22,1212,3.22,Low,No
EV-75893630,BATCH_B,53.76,407.91,1246,78.05,7,31.76,49.69,79.74,52.7,41.81,82,38.91,397,23.9,Critical,Yes
EV-FFC4B26F,BATCH_D,31.62,397.34,819,88.11,3,-55.3,55.12,82.85,46.81,20.57,49,72.82,931,11.05,Medium,No
EV-F55A1E0F,BATCH_D,21.38,394.5,1745,66.59,5,82.11,87.32,78.73,53.01,16.0,118,52.43,487,8.07,High,No
EV-B198B030,BATCH_A,34.73,406.7,535,53.98,4,38.98,71.92,90.78,32.91,28.95,18,82.6,1164,7.22,Low,No
EV-BE417BE4,BATCH_A,47.43,396.05,1370,50.49,4,31.61,83.42,83.65,43.96,33.39,87,50.2,540,17.55,High,No
EV-F3ABC9A9,BATCH_C,34.64417763153464,407.69,1308,83.72,7,140.79,59.46,78.98920759045632,50.946198847913735,23.68,53,55.41,622,21.93,High,No
EV-5020C0AB,BATCH_C,43.562171148200214,382.31,1630,85.27,6,-49.18,63.11,70.0,66.60821539689704,29.54,103,35.57,278,24.54,Critical,Yes
EV-C99F0586,BATCH_B,46.85,401.02,1286,71.82,5,169.75,80.34,81.48,49.26,39.24,84,48.96,533,11.41,High,Yes
EV-867713D1,BATCH_C,59.33283260903185,392.39,739,67.24,6,114.27,70.82,80.37166964761349,36.32325786547818,40.13,10,43.03,591,33.6,High,Yes
EV-046F123E,BATCH_C,37.818007941507545,389.04,1660,83.58,3,150.97,57.28,80.91374848536032,53.06442132579369,20.03,96,54.3,570,17.79,High,No
EV-76B1B3B4,BATCH_D,34.62,395.91,209,93.01,7,-111.05,57.19,89.96,33.13,26.46,1,78.5,1090,16.32,Medium,No
EV-C4EB9B7A,BATCH_C,45.210909117594134,382.95,1800,79.45,7,6.46,74.12,73.38593396919086,64.17278328904621,25.05,108,28.07,189,40.32,Critical,Yes
EV-0A0D457F,BATCH_B,48.5,380.36,810,54.4,0,-108.44,51.22,96.1,24.0,35.18,40,74.79,1062,3.33,Medium,No
EV-C24A2EA3,BATCH_B,26.03,382.76,1299,92.23,4,112.64,78.48,83.64,45.39,20.79,92,59.31,678,6.55,High,No
EV-59DD6EEA,BATCH_A,46.99,399.69,1191,90.5,1,76.43,87.7,89.88,35.96,40.69,90,58.5,729,3.15,High,No
EV-B5F4C9F0,BATCH_A,35.44,382.27,1212,70.4,4,248.1,73.86,84.19,45.19,23.84,89,59.59,649,14.5,High,No
EV-7FD503F8,BATCH_C,35.7192948663663,391.66,751,94.82,4,-46.7,76.9,78.37578019853038,37.08669114368423,23.32,32,66.89,845,15.5,Medium,No
EV-CF09C7C3,BATCH_D,32.01,386.55,565,78.95,1,215.04,70.08,92.96,30.81,19.32,22,85.21,1171,6.34,Low,No
EV-0FFC0F95,BATCH_A,39.65,393.38,135,90.34,1,-90.46,64.82,98.69,15.12,32.14,4,91.78,1334,3.75,Low,No
EV-AAB14B77,BATCH_A,27.85,391.74,1269,50.17,4,133.04,73.97,85.05,40.26,19.55,85,61.86,748,10.38,Medium,No
EV-E1EB20E0,BATCH_D,36.23,408.62,916,86.81,1,42.83,59.71,91.69,28.43,31.2,55,75.25,1015,2.51,Medium,No
EV-F08F5A32,BATCH_C,45.04181587127144,399.41,1057,66.44,7,191.34,43.8,76.10879528637093,64.74475471670414,16.66,42,44.93,524,56.76,High,Yes
EV-F70E3142,BATCH_D,49.84,398.92,1155,66.17,4,-116.06,64.3,84.0,45.54,35.88,84,47.94,573,17.45,High,Yes
EV-3DBC298A,BATCH_B,30.72,387.15,272,67.49,3,167.1,65.04,93.53,24.86,15.76,17,87.67,1213,14.96,Low,No
EV-D7012D07,BATCH_D,21.67,403.63,1096,51.93,0,-102.73,76.5,90.41,30.59,16.11,68,72.79,942,1.39,Medium,No
EV-B7A33DEB,BATCH_D,44.56,382.16,1764,83.1,2,45.56,21.33,87.27,39.91,37.23,120,50.85,545,5.5,High,No
EV-394970F9,BATCH_A,25.67,389.22,488,85.72,0,32.47,31.95,95.98,23.46,20.17,31,85.89,1231,1.38,Low,No
EV-7E5312AD,BATCH_A,42.9,386.62,1352,86.2,1,20.48,76.81,88.74,37.08,29.91,104,60.71,727,6.49,Medium,No
EV-C7CC4B31,BATCH_D,39.3,386.4,603,52.05,2,-80.62,24.43,93.46,28.17,24.65,41,78.15,1056,10.99,Medium,No
EV-BF995D80,BATCH_C,59.893667102470594,393.16,870,91.66,4,-133.72,27.0,88.20369673731723,45.13967474823613,35.89,18,45.26,621,30.0,High,Yes
EV-E9753D1F,BATCH_A,47.14,388.51,141,81.21,1,166.9,53.32,97.73,19.26,36.2,0,82.18,1232,5.47,Low,No
EV-F2C86A5D,BATCH_B,39.81,408.14,435,77.47,4,-134.95,32.6,90.21,35.93,30.69,26,70.71,967,11.4,Medium,No
EV-6ED9411B,BATCH_D,30.49,387.07,1031,55.29,4,62.08,26.7,85.49,38.32,25.44,78,67.45,855,6.31,Medium,No
EV-4785DECD,BATCH_C,53.62781694535716,386.24,1800,52.39,6,-104.93,30.45,75.2767618262947,65.09142635126956,28.93,110,25.5,161,43.22,Critical,Yes
EV-972288E3,BATCH_A,28.8,398.5,308,90.05,4,31.26,27.31,90.97,30.92,21.29,6,84.53,1182,9.39,Low,No
EV-8849706E,BATCH_A,25.03,395.45,1741,53.19,2,-55.88,51.14,80.41,51.41,19.74,118,58.1,616,3.97,High,No
EV-21F9F06C,BATCH_C,41.91365149771145,386.83,1024,60.67,7,15.04,34.0,78.6090774240786,42.833393559045255,21.9,53,52.5,599,40.03,High,No
EV-119CE095,BATCH_D,29.07,393.73,376,58.74,7,-6.56,38.88,86.4,40.87,20.34,18,75.62,1006,17.46,Medium,No
EV-5A24DB63,BATCH_C,37.481615125211775,393.97,538,68.82,4,154.14,35.39,82.68239857826173,39.47578100457307,23.42,16,70.67,982,17.58,Medium,No
EV-07A2DBE3,BATCH_B,48.03,394.2,392,70.82,7,-144.2,49.97,83.52,45.58,40.87,11,62.35,844,14.32,Medium,No
EV-D3F05D60,BATCH_B,46.3,397.75,589,56.7,6,79.48,20.36,86.14,39.7,32.38,31,60.78,846,24.36,Medium,No
EV-6145B69B,BATCH_A,36.71,404.29,350,81.35,0,-110.8,54.67,92.66,31.52,27.77,5,84.33,1190,2.24,Low,No
EV-D144D053,BATCH_A,49.83,388.87,908,79.14,6,-113.71,53.58,83.0,47.34,43.5,71,44.56,569,11.08,High,Yes
EV-137B4C8E,BATCH_C,65.0,384.16,725,81.64,4,-76.02,81.01,93.96301408045893,33.93434440275659,44.29,20,49.16,729,25.89,High,Yes
EV-2BA93806,BATCH_C,41.289590415690476,408.38,1241,74.41,7,167.79,75.14,73.56756734380039,52.38736480603533,27.78,67,45.81,494,27.02,High,Yes
EV-2972ECCC,BATCH_C,46.74758208553025,381.23,1736,66.49,3,109.27,69.34,75.43748377748358,44.87632705357923,26.49,113,43.61,386,20.26,High,Yes
EV-3B8EF26C,BATCH_A,50.21,389.61,1290,90.41,3,51.43,49.61,83.05,47.02,37.6,83,50.17,592,12.61,High,No
EV-D35FEB42,BATCH_A,38.58,404.89,336,71.16,5,62.76,77.78,89.43,34.38,28.57,8,73.63,1043,15.01,Medium,No
EV-A5069CAC,BATCH_C,40.25947309891618,382.62,1206,67.58,4,-78.48,87.08,86.52975419334456,39.049540429735835,20.65,57,61.69,765,24.51,Medium,No
EV-5D0F40C3,BATCH_B,38.5,396.24,1486,55.94,0,-11.32,51.07,86.74,39.18,23.8,111,68.42,776,3.67,Medium,No
EV-9649DFA0,BATCH_A,28.68,405.05,590,73.38,1,-15.65,60.51,92.94,26.65,15.66,37,85.5,1157,6.51,Low,No
EV-36FF72F3,BATCH_C,48.12902316590578,406.95,1444,63.79,7,165.71,35.87,73.0766166459679,67.96382033764769,28.74,62,39.71,366,38.78,Critical,Yes
EV-17227E92,BATCH_B,27.22,401.24,1080,90.71,4,167.78,31.29,81.55,50.84,20.47,79,60.27,727,8.44,Medium,No
